,n,Profit,Sharpe Ratio,Max Drawdown,Trade Num
0,1,337275.02,0.34,28.0,18
1,1,357774.18,0.37,27.54,18
2,1,346210.96,0.35,28.04,16
3,1,466079.2,0.44,28.04,14
4,1,670738.72,0.53,28.95,10
5,1,785406.35,0.57,30.09,6
6,1,753511.95,0.55,31.82,6
7,1,753511.95,0.55,31.82,6
8,1,753511.95,0.55,31.82,6
