,XLB170519C00050000.csv,XLB170519C00051000.csv,XLB170519C00052000.csv,XLB170519C00053000.csv,XLB170519C00054000.csv,XLB170616C00050000.csv,XLB170616C00051000.csv,XLB170616C00052000.csv,XLB170616C00053000.csv,XLB170616C00054000.csv
20170403,0.867206636226,0.753893863698,0.600414052418,0.426762142984,0.26395911571,0.817310766985,0.720257513579,0.60255035135,0.47364363222,0.346447528113
20170404,0.908836052738,0.787885199001,0.615101875258,0.425180693894,0.258738147493,0.842340986984,0.733772710807,0.603120089026,0.465804524618,0.337694952676
20170405,0.850177197282,0.769772235245,0.661026002397,0.523784684092,0.365172728452,0.822402358335,0.756681019053,0.673814465652,0.572808727179,0.454419764447
20170406,0.917696913026,0.81641403379,0.663965160373,0.481635402143,0.306205400759,0.86148108581,0.76635053634,0.645707469718,0.510913630218,0.377306602081
20170407,0.912231811655,0.814452784129,0.663481816271,0.477326820829,0.296828827523,0.85269126065,0.76193165357,0.644980395857,0.511520136387,0.377397983407
20170410,0.89984007378,0.829012171476,0.715338247036,0.548448760189,0.345256437674,0.855361969989,0.788576014525,0.697517950826,0.580667452007,0.443944440758
20170411,0.891282329634,0.805613357646,0.669412913987,0.482633086895,0.285815560585,0.845693091012,0.766564083074,0.658950311876,0.525517476893,0.380885523418
20170412,0.805209152061,0.710836387688,0.588035575121,0.439580347459,0.277148326282,0.78188494238,0.710398693784,0.622397488793,0.517187876348,0.395902840026
20170413,0.775319838158,0.659967946066,0.50504688834,0.324051821589,0.160252920965,0.746776823495,0.655866961287,0.544462562977,0.417549788845,0.287592927155
20170417,0.808264255206,0.66075176237,0.484534995533,0.312573483915,0.174875225723,0.764083264747,0.646999377906,0.515078483124,0.382492835142,0.263315742452
20170418,0.800921809832,0.648540922596,0.469843935918,0.299285138266,0.165717809563,0.764259423671,0.640527059146,0.50184053674,0.364719061773,0.244543026074
20170419,0.816354108663,0.681162091493,0.507175164082,0.32340102536,0.169723661442,0.775546756437,0.672149742237,0.546929252879,0.409922503579,0.2775796163
20170420,0.911141875438,0.789008959039,0.596725613472,0.381582940788,0.207979910008,0.878112743717,0.766233282223,0.609422837245,0.434998704047,0.280083105091
20170421,0.904711478015,0.797581443716,0.626619873855,0.414322910369,0.218014409543,0.867679629845,0.772693864928,0.641278949566,0.484834352983,0.326752698727
20170424,0.947828623354,0.86620378955,0.707800886603,0.48865692052,0.276696329136,0.917721042454,0.820053125649,0.682737504893,0.518192835511,0.353038974121
20170425,0.995048958109,0.970022254229,0.884261597059,0.700223870351,0.44673122516,0.968465829006,0.91557777142,0.816766701271,0.669672051154,0.493449190837
20170426,0.991081890298,0.959322600233,0.866357649393,0.686190147628,0.449409736206,0.965990320819,0.912977907412,0.814705982072,0.669463572288,0.496007079053
20170427,0.973397408776,0.939507779395,0.869824153121,0.737247031355,0.509839748155,0.923007342305,0.880471086189,0.817455534055,0.725876516707,0.595512968905
20170428,0.955855891211,0.914398235091,0.831017506299,0.669163726187,0.390182334246,0.899555109071,0.846979521245,0.768336729172,0.655629732617,0.505429643245
