,XLB170519C00050000.csv,XLB170519C00051000.csv,XLB170519C00052000.csv,XLB170519C00053000.csv,XLB170519C00054000.csv,XLB170616C00050000.csv,XLB170616C00051000.csv,XLB170616C00052000.csv,XLB170616C00053000.csv,XLB170616C00054000.csv
20170403,45.2768584774,39.3607986237,31.3476176768,22.2812514852,13.7813054312,42.6717951443,37.6046447839,31.459153844,24.7289340382,18.0880254428
20170404,2.18138142521,1.78114596984,0.769641916794,-0.0828679323575,-0.273578734555,1.31158352793,0.708196334786,0.0298542542069,-0.410769238325,-0.458634952901
20170405,-3.07137767167,-0.94839478223,2.40458729698,5.16290492677,5.57291465902,-1.04398659606,1.19947901972,3.70155756016,5.60274004606,6.11171114435
20170406,3.55423783675,2.45522427541,0.154717275867,-2.21873820178,-3.10404012975,2.05710421426,0.509003389995,-1.47955226596,-3.25815790399,-4.05923686695
20170407,-0.287409681078,-0.103142119699,-0.0254190663142,-0.226588291301,-0.493113986476,-0.462256905145,-0.232389044861,-0.0382368143702,0.0318961593914,0.00480574393291
20170410,-0.651805412212,0.765823774467,2.72764825826,3.74101401034,2.54729229392,0.140479311195,1.40149338624,2.7634753914,3.63714880162,3.50034365669
20170411,-0.448939257901,-1.22750177351,-2.40924297179,-3.45269022102,-3.11826841211,-0.507229391102,-1.15474592391,-2.02325833933,-2.89316769448,-3.30807080368
20170412,-4.45945133006,-4.91039481354,-4.21615992663,-2.23056243015,-0.449049409242,-3.30590018062,-2.90992881914,-1.89380176393,-0.431556604216,0.77804717348
20170413,-1.53362069635,-2.61005973961,-4.25814951873,-5.92776866239,-5.9979032468,-1.80139758001,-2.79802319441,-3.9988410436,-5.11243026982,-5.55738162943
20170417,1.70256747305,0.0405076265698,-1.06005462028,-0.593200490999,0.755680709909,0.894396883912,-0.458276709121,-1.51856924682,-1.81174336735,-1.25464490544
20170418,-0.379017030252,-0.630323549133,-0.758352497292,-0.685944402388,-0.472705822167,0.00909332365133,-0.334101094403,-0.683342792354,-0.917482181308,-0.96904761947
20170419,0.797695526621,1.68618822031,1.92965118377,1.24655020386,0.207062483598,0.583442230686,1.63457648898,2.33063573724,2.33656590697,1.70766134883
20170420,4.95360869165,5.63607729795,4.67990648513,3.04058690027,1.99927155005,5.36009849526,4.91680579967,3.26591471895,1.31048223642,0.130832324173
20170421,-0.335666745484,0.4474837001,1.56048039201,1.70902641214,0.523800875761,-0.544608544148,0.337242417196,1.66288906318,2.60142087447,2.43615278784
20170424,2.27658527391,3.62325986006,4.28635747308,3.92483573598,3.0984053545,2.64218658578,2.50056896609,2.18901172124,1.76132787746,1.38791534082
20170425,2.5333709596,5.56986063004,9.46711711597,11.3505668584,9.12237217166,2.72245779849,5.1248972456,7.19066638569,8.12685991925,7.5330081268
20170426,-0.212753846721,-0.573822443799,-0.960188713363,-0.75262854965,0.143648547437,-0.132761504072,-0.139430706749,-0.110516370653,-0.0111807215927,0.137179545038
20170427,-0.946473451068,-1.06048921129,0.18552727954,2.73256441707,3.23421423952,-2.30044901003,-1.73976507184,0.147156022115,3.0192207853,5.32555522487
20170428,-50.7846235,-48.5819782304,-44.1519601097,-35.5526687723,-20.7303874185,-47.7933629449,-45.0000219637,-40.8217304209,-34.8336076939,-26.8534769456
