,XLB170519C00050000.csv,XLB170519C00051000.csv,XLB170519C00052000.csv,XLB170519C00053000.csv,XLB170519C00054000.csv,XLB170616C00050000.csv,XLB170616C00051000.csv,XLB170616C00052000.csv,XLB170616C00053000.csv,XLB170616C00054000.csv
20170403,48.3553247758,41.9365921518,31.6637118299,19.9119593104,10.1303194883,46.3337936639,40.2872590802,31.9524520536,22.6543402064,14.1631442663
20170404,0.823803484455,1.60655373567,2.17996460389,2.09962175662,1.46225346671,0.873349611971,1.36435608148,1.70258610486,1.71856905117,1.41959792418
20170405,-0.0551936377389,-0.20788181487,-0.438393542801,-0.592200986707,-0.544248465054,-0.106728429877,-0.225070084987,-0.359192030934,-0.447059742558,-0.443463741266
20170406,0.969887203911,2.11845240109,3.16835790608,3.31332867014,2.47054760328,1.1264589007,1.87536955544,2.47808778839,2.63272963251,2.27602743814
20170407,-0.0587709119148,-0.223866696362,-0.49822333923,-0.711899335717,-0.686659670349,-0.119163227533,-0.256042558839,-0.419678373687,-0.537356807768,-0.54764890286
20170410,0.271776760023,0.416780604998,0.266135718545,-0.171000812174,-0.497325743302,0.211942501882,0.233323008167,0.128765263735,-0.0721789775953,-0.254316004291
20170411,-0.305426071368,-0.869965197198,-1.592028472,-1.92312602749,-1.57171789912,-0.453012004991,-0.856820037622,-1.25793053521,-1.45459805029,-1.34283351663
20170412,-2.60013586522,-5.77436588393,-8.32441449714,-7.98785496963,-5.22229397731,-2.98824225751,-4.91083708416,-6.29060370625,-6.37047738575,-5.16795978655
20170413,-3.2636491798,-5.83008226753,-6.69812622981,-5.07747897353,-2.60077427274,-3.12959731578,-4.52028884666,-5.07907740736,-4.5034958905,-3.19331664871
20170417,3.19934745465,4.8571250623,4.50153134543,2.59002594998,0.93507458322,2.72389946288,3.54539352701,3.53471130634,2.73547946584,1.66323004074
20170418,-0.224378896708,-0.639793400637,-0.981206408496,-0.872628638614,-0.472403222339,-0.302612933476,-0.531194470547,-0.691782681287,-0.683256355413,-0.521450870703
20170419,0.582080491683,0.96383123895,0.89957581987,0.475518761814,0.138225544771,0.50747636829,0.680593428749,0.683179000209,0.519737279686,0.302678027676
20170420,2.65365858992,6.20557985591,8.42284065426,6.83314874051,3.40544826536,3.04420311151,4.92754247692,6.01544423413,5.62613119428,4.09091103641
20170421,-0.0710001346075,-0.368129101899,-0.858316542684,-1.05197062625,-0.729476795563,-0.185878306975,-0.402834049466,-0.630499422209,-0.731837712421,-0.643670099724
20170424,1.48597325218,4.85705895077,8.64407848771,8.6014298894,4.90824875882,2.35773205789,4.40528364404,6.09411493772,6.3425447946,5.04130492054
20170425,0.468108802121,2.70843652829,8.17256918707,13.3114435621,12.0779465082,1.62123972293,3.92451757105,6.95079340315,9.16345224805,9.13722479269
20170426,0.00892429137536,0.048719451069,0.0776905366818,-0.12787033018,-0.50392640431,0.0153082115119,0.0108363245708,-0.0443665336203,-0.166403645788,-0.298449009518
20170427,-0.00472357260865,-0.0791755440165,-0.507382560863,-1.45754502399,-2.03503864827,-0.0891344287097,-0.290006976553,-0.664874084815,-1.09834678268,-1.3337901232
20170428,-52.9939163966,-51.6698291553,-45.4024064412,-30.9757271669,-14.1998928942,-51.674223392,-48.3789138415,-41.553789044,-31.2975195475,-19.9231533688
